name, capacity, address
Ryder Supply Chain Solutions,10000,"8011 Hilldale Ave., Jackson, NJ 08527"
XPO Logistics,20000,"849 SE. Beaver Ridge Lane, Lake Zurich, IL 60047"
DHL Supply Chain North America,40000,"7872 Jefferson Drive, Powder Springs, GA 30127"
GEODIS North America,10000,"8604 Ann St., Kenosha, WI 53140"
NFI Logistics,50000,"52 Mechanic Street, Port Washington, NY 11050"
Americold,40000,"642 York Dr., Saint Petersburg, FL 33702"
FedEx Supply Chain,45000,"712 Amherst Drive, Potomac, MD 20854"
Lineage Logistics,12000,"8681 Yukon St., Glenside, PA 19038"
Kenco Logistic Services LLC,25000,"340 Central St., Farmington, MI 48331"
DSC Logistics,45000,"7049 Smith Lane, Franklin, MA 02038"
DB Schenker Logistics Americas,35000,"53 Shady Ave., Haines City, FL 33844"
Penske Logistics,40000,"8 Berkshire St., Woodside, NY 11377"
CEVA Logistics North America,50000,"465 Ridge Rd, Independence, KY 41051"
Saddle Creek Logistics Services,20000,"83 Pierce Court, Wilson, NC 27893"
UPS Supply Chain Solutions,5000,"9047 Wilson Drive, Brookfield, WI 53045"
"Kuehne + Nagel, Inc.",20000,"9837 Highland Ave., Martinsville, VA 24112"
"Warehouse Services, Inc.",30000,"8892 Tarkiln Hill St., Plainfield, NJ 07060"
WSI,45000,"948 Newcastle Street, Round Lake, IL 60073"
APL Logistics North America,25000,"8537 Brickell St., Lincolnton, NC 28092"
Radial,50000,"734 Sherwood Ave., Ogden, UT 84404"
